Travel_Route,Year,Year_text,Visitors_on_Holiday,Visitors_on_Business,Visitors_in_Transit,Other_Visitors,Quater,Results_Status,OBJECTID
Arrivals,03/31/2005 12:00:00 AM,2005,264600,516000,22200,37600,Q1,Actual,0
Arrivals,06/30/1991 12:00:00 AM,1991,149400,16600,5100,2400,Q2,Actual,1
Arrivals,09/30/1991 12:00:00 AM,1991,215900,23100,13200,4100,Q3,Actual,2
Arrivals,12/31/1991 12:00:00 AM,1991,158400,20000,12500,7900,Q4,Actual,3
Arrivals,03/31/1992 12:00:00 AM,1992,155400,39100,19200,5500,Q1,Actual,4
Arrivals,06/30/1992 12:00:00 AM,1992,136200,27300,14700,6000,Q2,Actual,5
Arrivals,09/30/1992 12:00:00 AM,1992,211100,19300,8600,1500,Q3,Actual,6
Arrivals,12/31/1992 12:00:00 AM,1992,104000,23600,8300,1700,Q4,Actual,7
Arrivals,03/31/1993 12:00:00 AM,1993,69300,26200,12000,1100,Q1,Actual,8
Arrivals,06/30/1993 12:00:00 AM,1993,211800,23700,9600,300,Q2,Actual,9
Arrivals,09/30/1993 12:00:00 AM,1993,208700,20000,12700,400,Q3,Actual,10
Arrivals,12/31/1993 12:00:00 AM,1993,190000,27700,12500,200,Q4,Actual,11
Arrivals,03/31/1994 12:00:00 AM,1994,145400,60800,27800,2600,Q1,Actual,12
Arrivals,06/30/1994 12:00:00 AM,1994,192400,21500,8700,300,Q2,Actual,13
Arrivals,09/30/1994 12:00:00 AM,1994,189300,18200,11600,400,Q3,Actual,14
Arrivals,12/31/1994 12:00:00 AM,1994,151800,22100,10100,200,Q4,Actual,15
Arrivals,03/31/1995 12:00:00 AM,1995,212900,26900,13800,5800,Q1,Actual,16
Arrivals,06/30/1995 12:00:00 AM,1995,182100,23000,13900,4900,Q2,Actual,17
Arrivals,09/30/1995 12:00:00 AM,1995,199600,25100,14100,5400,Q3,Actual,18
Arrivals,12/31/1995 12:00:00 AM,1995,201700,25500,14000,5500,Q4,Actual,19
Arrivals,03/31/1996 12:00:00 AM,1996,213800,27000,12100,5800,Q1,Actual,20
Arrivals,06/30/1996 12:00:00 AM,1996,175300,22100,12000,4800,Q2,Actual,21
Arrivals,09/30/1996 12:00:00 AM,1996,212100,26800,17200,5800,Q3,Actual,22
Arrivals,12/31/1996 12:00:00 AM,1996,219600,27800,14900,5900,Q4,Actual,23
Arrivals,03/31/1997 12:00:00 AM,1997,233600,29500,14200,6300,Q1,Actual,24
Arrivals,06/30/1997 12:00:00 AM,1997,176400,22300,15500,4800,Q2,Actual,25
Arrivals,09/30/1997 12:00:00 AM,1997,210000,26500,20400,5700,Q3,Actual,26
Arrivals,12/31/1997 12:00:00 AM,1997,168600,23400,22200,5000,Q4,Actual,27
Arrivals,03/31/1998 12:00:00 AM,1998,192900,24400,34100,5200,Q1,Actual,28
Arrivals,06/30/1998 12:00:00 AM,1998,149600,18900,20600,4100,Q2,Actual,29
Arrivals,09/30/1998 12:00:00 AM,1998,175800,22200,23100,4800,Q3,Actual,30
Arrivals,12/31/1998 12:00:00 AM,1998,168600,21300,24100,4600,Q4,Actual,31
Arrivals,03/31/1999 12:00:00 AM,1999,193800,24500,27600,5500,Q1,Actual,32
Arrivals,06/30/1999 12:00:00 AM,1999,163700,20700,24400,4500,Q2,Actual,33
Arrivals,09/30/1999 12:00:00 AM,1999,207700,26200,29100,5700,Q3,Actual,34
Arrivals,12/31/1999 12:00:00 AM,1999,181700,23000,26300,4900,Q4,Actual,35
Arrivals,03/31/2000 12:00:00 AM,2000,194500,24600,41200,5500,Q1,Actual,36
Arrivals,06/30/2000 12:00:00 AM,2000,165500,20900,33000,4600,Q2,Actual,37
Arrivals,09/30/2000 12:00:00 AM,2000,211100,26600,32600,5800,Q3,Actual,38
Arrivals,12/31/2000 12:00:00 AM,2000,207100,26200,31700,5600,Q4,Actual,39
Arrivals,03/31/2001 12:00:00 AM,2001,200300,25300,39400,4900,Q1,Actual,40
Arrivals,06/30/2001 12:00:00 AM,2001,149600,18900,38500,4200,Q2,Actual,41
Arrivals,10/01/2000 12:00:00 AM,2001,184700,23300,37700,5100,Q3,Actual,42
Arrivals,12/31/2001 12:00:00 AM,2001,194200,24600,37000,5300,Q4,Actual,43
Arrivals,03/31/2002 12:00:00 AM,2002,176000,26100,47000,5800,Q1,Actual,44
Arrivals,06/30/2002 12:00:00 AM,2002,158500,17100,42700,3800,Q2,Actual,45
Arrivals,10/02/2000 12:00:00 AM,2002,194100,20400,37400,4400,Q3,Actual,46
Arrivals,12/31/2002 12:00:00 AM,2002,204000,23000,36200,4900,Q4,Actual,47
Arrivals,03/31/2003 12:00:00 AM,2003,206700,34700,51900,7700,Q1,Actual,48
Arrivals,06/30/2003 12:00:00 AM,2003,112500,44700,48200,18900,Q2,Actual,49
Arrivals,10/03/2000 12:00:00 AM,2003,183900,53400,62100,11600,Q3,Actual,50
Arrivals,12/31/2003 12:00:00 AM,2003,180900,49300,56900,22800,Q4,Actual,51
Arrivals,03/31/1991 12:00:00 AM,1991,149600,17900,7500,1000,Q1,Actual,52
Arrivals,06/30/2005 12:00:00 AM,2005,213400,41900,17900,30300,Q2,Actual,53
Arrivals,10/05/2000 12:00:00 AM,2005,288600,56600,24200,41000,Q3,Actual,54
Arrivals,12/31/2005 12:00:00 AM,2005,2966000,556000,156000,21000,Q4,Actual,55
Arrivals,03/31/2006 12:00:00 AM,2006,2756000,61700,36000,48200,Q1,Actual,56
Arrivals,06/30/2006 12:00:00 AM,2006,219200,456000,28400,23400,Q2,Actual,57
Arrivals,10/06/2000 12:00:00 AM,2006,289200,59400,386000,46600,Q3,Actual,58
Arrivals,12/31/2006 12:00:00 AM,2006,303200,59600,34200,31700,Q4,Actual,59
Arrivals,03/31/2007 12:00:00 AM,2007,298400,756000,41200,59200,Q1,Actual,60
Arrivals,06/30/2007 12:00:00 AM,2007,263000,51600,31300,37900,Q2,Actual,61
Arrivals,10/07/2000 12:00:00 AM,2007,380600,64700,28200,376000,Q3,Actual,62
Arrivals,12/31/2007 12:00:00 AM,2007,336500,50100,30200,30300,Q4,Actual,63
Arrivals,03/31/2008 12:00:00 AM,2008,201600,20400,5800,6900,Q1,Actual,64
Arrivals,06/30/2008 12:00:00 AM,2008,205600,18600,136000,20200,Q2,Actual,65
Arrivals,10/08/2000 12:00:00 AM,2008,243700,33100,20800,44000,Q3,Actual,66
Arrivals,12/31/2008 12:00:00 AM,2008,285200,37200,216000,24700,Q4,Actual,67
Arrivals,03/31/2009 12:00:00 AM,2009,258700,38000,22900,39400,Q1,Actual,68
Arrivals,06/30/2009 12:00:00 AM,2009,217500,44400,17200,23300,Q2,Actual,69
Arrivals,10/09/2000 12:00:00 AM,2009,282000,40100,32100,44000,Q3,Actual,70
Arrivals,12/31/2009 12:00:00 AM,2009,306700,46800,25300,29900,Q4,Actual,71
Arrivals,03/31/2010 12:00:00 AM,2010,261200,59700,34200,33500,Q1,Actual,72
Arrivals,06/30/2010 12:00:00 AM,2010,228700,48600,32200,25900,Q2,Actual,73
Arrivals,09/30/2010 12:00:00 AM,2010,302600,62000,40000,49800,Q3,Actual,74
Arrivals,12/31/2010 12:00:00 AM,2010,308200,58600,33200,30700,Q4,Actual,75
Arrivals,03/31/2011 12:00:00 AM,2011,302800,63600,22200,38500,Q1,Actual,76
Arrivals,06/30/2011 12:00:00 AM,2011,235500,56000,21100,64700,Q2,Actual,77
Arrivals,09/30/2011 12:00:00 AM,2011,411900,50100,15300,50100,Q3,Actual,78
Arrivals,12/31/2011 12:00:00 AM,2011,369700,62400,14200,44600,Q4,Actual,79
Arrivals,03/31/2012 12:00:00 AM,2012,317000,68400,21400,35400,Q1,Actual,80
Arrivals,06/30/2012 12:00:00 AM,2012,240100,58800,22600,45000,Q2,Actual,81
Arrivals,09/30/2012 12:00:00 AM,2012,323600,55700,27000,52800,Q3,Actual,82
Arrivals,12/31/2012 12:00:00 AM,2012,338500,53200,20900,30600,Q4,Actual,83
Arrivals,03/31/2013 12:00:00 AM,2013,257600,45900,22500,30500,Q1,Actual,84
Arrivals,06/30/2013 12:00:00 AM,2013,222000,47300,21800,39500,Q2,Actual,85
Arrivals,09/30/2013 12:00:00 AM,2013,284200,41700,20800,35500,Q3,Actual,86
Arrivals,12/31/2013 12:00:00 AM,2013,340100,55300,21100,34000,Q4,Actual,87
Arrivals,03/31/1995 12:00:00 AM,1995*,109600,45900,13400,1900,Q1,Preliminary ,88
Arrivals,06/30/1995 12:00:00 AM,1995*,138300,15400,13500,200,Q2,Preliminary ,89
Arrivals,09/30/1995 12:00:00 AM,1995*,150300,14500,13500,300,Q3,Preliminary ,90
Arrivals,12/31/1995 12:00:00 AM,1995*,139200,20300,13500,200,Q4,Preliminary ,91
Arrivals,03/31/1999 12:00:00 AM,1999*,193800,24500,27600,5500,Q1,Preliminary ,92
Arrivals,06/30/1999 12:00:00 AM,1999*,163700,20700,24400,4500,Q2,Preliminary ,93
Arrivals,09/30/1999 12:00:00 AM,1999*,207700,26200,29100,5700,Q3,Preliminary ,94
Arrivals,12/31/1999 12:00:00 AM,1999*,181700,23000,26300,4900,Q4,Preliminary ,95
Arrivals,03/31/2004 12:00:00 AM,2004',209400,51100,47300,9700,Q1,Preliminary ,96
Arrivals,06/30/2004 12:00:00 AM,2004',178500,49300,28800,20400,Q2,Preliminary ,97
Arrivals,10/04/2000 12:00:00 AM,2004',239300,70800,46900,12800,Q3,Preliminary ,98
Arrivals,12/31/2004 12:00:00 AM,2004*,258400,75200,39200,23600,Q4,Preliminary ,99
Arrivals,03/31/2009 12:00:00 AM,2009*,248600,44100,216000,376000,Q1,Preliminary ,100
Arrivals,06/30/2009 12:00:00 AM,2009*,211600,46400,23800,34600,Q2,Preliminary ,101
Arrivals,10/09/2000 12:00:00 AM,2009*,294700,46400,29300,50200,Q3,Preliminary ,102
Arrivals,12/31/2009 12:00:00 AM,2009*,306300,43600,23400,27700,Q4,Preliminary ,103
Arrivals,03/31/2014 12:00:00 AM,2014*,266200,50100,28500,37100,Q1,Preliminary ,104
Arrivals,06/30/2014 12:00:00 AM,2014*,207000,38500,22900,24200,Q2,Preliminary ,105
Arrivals,09/30/2014 12:00:00 AM,2014*,267900,43000,22200,36700,Q3,Preliminary ,106
Arrivals,12/31/2014 12:00:00 AM,2014*,235700,35300,15500,19500,Q4,Preliminary ,107
Departures,12/31/1995 12:00:00 AM,1995*,113000,29900,14700,2300,Q4,Preliminary ,108
Departures,12/31/1995 12:00:00 AM,1995,196400,24800,15100,5300,Q4,Actual,109
Departures,12/31/1996 12:00:00 AM,1996,206000,26000,12500,5600,Q4,Actual,110
Departures,12/31/1997 12:00:00 AM,1997,168600,21300,19100,4600,Q4,Actual,111
Departures,12/31/1998 12:00:00 AM,1998,172200,21800,23800,4700,Q4,Actual,112
Departures,12/31/1999 12:00:00 AM,1999*,182000,23000,27300,5100,Q4,Preliminary ,113
Departures,12/31/2000 12:00:00 AM,2000,207100,26200,31700,5600,Q4,Actual,114
Departures,12/31/2001 12:00:00 AM,2001,194200,24600,37000,5300,Q4,Actual,115
Departures,12/31/2002 12:00:00 AM,2002,204000,23000,36200,4900,Q4,Actual,116
Departures,12/31/2003 12:00:00 AM,2003,180900,49300,56900,22800,Q4,Actual,117
Departures,12/31/2004 12:00:00 AM,2004*,258400,75200,39200,23600,Q4,Preliminary ,118
Departures,12/31/2005 12:00:00 AM,2005,267000,52400,18600,41800,Q4,Actual,119
Departures,12/31/2006 12:00:00 AM,2006,284900,55000,41200,40600,Q4,Actual,120
Departures,03/31/2014 12:00:00 AM,2014*,234600,53600,33700,40100,Q1,Preliminary ,121
Departures,12/31/2007 12:00:00 AM,2007,295000,53900,35400,43700,Q4,Actual,122
Departures,06/30/2014 12:00:00 AM,2014*,205600,45600,23700,37000,Q2,Preliminary ,123
Departures,12/31/2008 12:00:00 AM,2008,236600,38100,23300,28300,Q4,Actual,124
Departures,09/30/2014 12:00:00 AM,2014*,244900,45700,24400,40400,Q3,Preliminary ,125
Departures,12/31/2009 12:00:00 AM,2009*,306700,46800,25300,29900,Q4,Preliminary ,126
Departures,12/31/2014 12:00:00 AM,2014*,260300,48100,25700,40100,Q4,Preliminary ,127
Departures,03/31/1991 12:00:00 AM,1991,149300,16400,11800,1800,Q1,Actual,128
Departures,03/31/1992 12:00:00 AM,1992,186000,20700,13500,1900,Q1,Actual,129
Departures,03/31/1993 12:00:00 AM,1993,163400,18200,11900,1600,Q1,Actual,130
Departures,03/31/1994 12:00:00 AM,1994,205900,22900,15000,2000,Q1,Actual,131
Departures,03/31/1995 12:00:00 AM,1995*,130000,14500,13900,1300,Q1,Preliminary ,132
Departures,03/31/1995 12:00:00 AM,1995,215200,27100,14700,5800,Q1,Actual,133
Departures,03/31/1996 12:00:00 AM,1996,214400,27100,17100,5800,Q1,Actual,134
Departures,03/31/1997 12:00:00 AM,1997,221600,28000,11800,6000,Q1,Actual,135
Departures,03/31/1998 12:00:00 AM,1998,181200,22900,26400,4900,Q1,Actual,136
Departures,03/31/1999 12:00:00 AM,1999*,196000,24800,26500,5600,Q1,Preliminary ,137
Departures,03/31/2000 12:00:00 AM,2000,194500,24600,41200,5500,Q1,Actual,138
Departures,03/31/2001 12:00:00 AM,2001,200300,25300,39400,4900,Q1,Actual,139
Departures,03/31/2002 12:00:00 AM,2002,176000,26100,47000,5800,Q1,Actual,140
Departures,03/31/2003 12:00:00 AM,2003,206700,34700,51900,7700,Q1,Actual,141
Departures,03/31/2004 12:00:00 AM,2004*,209400,51100,47300,9700,Q1,Preliminary ,142
Departures,03/31/2005 12:00:00 AM,2005,258900,50800,18000,40500,Q1,Actual,143
Departures,03/31/2006 12:00:00 AM,2006,285300,56700,29900,46200,Q1,Actual,144
Departures,03/31/2007 12:00:00 AM,2007,314200,65500,35400,58900,Q1,Actual,145
Departures,03/31/2008 12:00:00 AM,2008,210100,18900,10100,11900,Q1,Actual,146
Departures,03/31/2009 12:00:00 AM,2009*,258700,38000,22900,39400,Q1,Preliminary ,147
Departures,06/30/1991 12:00:00 AM,1991,111200,17900,11100,1200,Q2,Actual,148
Departures,06/30/1992 12:00:00 AM,1992,114600,21900,10900,1500,Q2,Actual,149
Departures,06/30/1993 12:00:00 AM,1993,118700,22700,11300,1500,Q2,Actual,150
Departures,06/30/1994 12:00:00 AM,1994,173500,33200,16500,2200,Q2,Actual,151
Departures,06/30/1995 12:00:00 AM,1995*,122600,23500,13900,1800,Q2,Preliminary ,152
